epochs,max_seq_len,batches,lr_schedulers,accuracy
1,50,16,PolynomialDecay,0.911
1,50,16,CosineDecay,0.904
1,50,16,5e-05,0.907
1,50,16,4e-05,0.907
1,50,16,3e-05,0.909
1,50,32,PolynomialDecay,0.901
1,50,32,CosineDecay,0.899
1,50,32,5e-05,0.898
1,50,32,4e-05,0.909
1,50,32,3e-05,0.901
1,50,64,PolynomialDecay,0.899
1,50,64,CosineDecay,0.903
1,50,64,5e-05,0.9
1,50,64,4e-05,0.903
1,50,64,3e-05,0.899
1,100,16,PolynomialDecay,0.924
1,100,16,CosineDecay,0.913
1,100,16,5e-05,0.911
1,100,16,4e-05,0.934
1,100,16,3e-05,0.934
1,100,32,PolynomialDecay,0.934
1,100,32,CosineDecay,0.933
1,100,32,5e-05,0.927
1,100,32,4e-05,0.942
1,100,32,3e-05,0.92
1,100,64,PolynomialDecay,0.926
1,100,64,CosineDecay,0.922
1,100,64,5e-05,0.927
1,100,64,4e-05,0.922
1,100,64,3e-05,0.925
1,150,16,PolynomialDecay,0.928
1,150,16,CosineDecay,0.939
1,150,16,5e-05,0.917
1,150,16,4e-05,0.93
1,150,16,3e-05,0.935
1,150,32,PolynomialDecay,0.927
1,150,32,CosineDecay,0.921
1,150,32,5e-05,0.93
1,150,32,4e-05,0.944
1,150,32,3e-05,0.931
1,150,64,PolynomialDecay,0.921
1,150,64,CosineDecay,0.925
1,150,64,5e-05,0.931
1,150,64,4e-05,0.924
1,150,64,3e-05,0.919
2,50,16,PolynomialDecay,0.893
2,50,16,CosineDecay,0.89
2,50,16,5e-05,0.902
2,50,16,4e-05,0.909
2,50,16,3e-05,0.907
2,50,32,PolynomialDecay,0.917
2,50,32,CosineDecay,0.916
2,50,32,5e-05,0.895
2,50,32,4e-05,0.905
2,50,32,3e-05,0.913
2,50,64,PolynomialDecay,0.912
2,50,64,CosineDecay,0.916
2,50,64,5e-05,0.923
2,50,64,4e-05,0.913
2,50,64,3e-05,0.906
2,100,16,PolynomialDecay,0.946
2,100,16,CosineDecay,0.941
2,100,16,5e-05,0.938
2,100,16,4e-05,0.943
2,100,16,3e-05,0.94
2,100,32,PolynomialDecay,0.94
2,100,32,CosineDecay,0.926
2,100,32,5e-05,0.944
2,100,32,4e-05,0.939
2,100,32,3e-05,0.943
2,100,64,PolynomialDecay,0.936
2,100,64,CosineDecay,0.936
2,100,64,5e-05,0.943
2,100,64,4e-05,0.939
2,100,64,3e-05,0.94
2,150,16,PolynomialDecay,0.943
2,150,16,CosineDecay,0.955
2,150,16,5e-05,0.939
2,150,16,4e-05,0.919
2,150,16,3e-05,0.947
2,150,32,PolynomialDecay,0.94
2,150,32,CosineDecay,0.936
2,150,32,5e-05,0.948
2,150,32,4e-05,0.933
2,150,32,3e-05,0.937
2,150,64,PolynomialDecay,0.942
2,150,64,CosineDecay,0.942
2,150,64,5e-05,0.948
2,150,64,4e-05,0.947
2,150,64,3e-05,0.944
3,50,16,PolynomialDecay,0.912
3,50,16,CosineDecay,0.916
3,50,16,5e-05,0.9
3,50,16,4e-05,0.908
3,50,16,3e-05,0.914
3,50,32,PolynomialDecay,0.906
3,50,32,CosineDecay,0.909
3,50,32,5e-05,0.903
3,50,32,4e-05,0.912
3,50,32,3e-05,0.912
3,50,64,PolynomialDecay,0.901
3,50,64,CosineDecay,0.915
3,50,64,5e-05,0.909
3,50,64,4e-05,0.915
3,50,64,3e-05,0.913
3,100,16,PolynomialDecay,0.926
3,100,16,CosineDecay,0.934
3,100,16,5e-05,0.922
3,100,16,4e-05,0.944
3,100,16,3e-05,0.936
3,100,32,PolynomialDecay,0.935
3,100,32,CosineDecay,0.931
3,100,32,5e-05,0.938
3,100,32,4e-05,0.938
3,100,32,3e-05,0.926
3,100,64,PolynomialDecay,0.942
3,100,64,CosineDecay,0.93
3,100,64,5e-05,0.935
3,100,64,4e-05,0.939
3,100,64,3e-05,0.937
3,150,16,PolynomialDecay,0.939
3,150,16,CosineDecay,0.936
3,150,16,5e-05,0.926
3,150,16,4e-05,0.934
3,150,16,3e-05,0.938
3,150,32,PolynomialDecay,0.941
3,150,32,CosineDecay,0.935
3,150,32,5e-05,0.947
3,150,32,4e-05,0.936
3,150,32,3e-05,0.943
3,150,64,PolynomialDecay,0.945
3,150,64,CosineDecay,0.947
3,150,64,5e-05,0.948
3,150,64,4e-05,0.95
3,150,64,3e-05,0.95
4,50,16,PolynomialDecay,0.907
4,50,16,CosineDecay,0.899
4,50,16,5e-05,0.912
4,50,16,4e-05,0.893
4,50,16,3e-05,0.902
4,50,32,PolynomialDecay,0.915
4,50,32,CosineDecay,0.907
4,50,32,5e-05,0.908
4,50,32,4e-05,0.91
4,50,32,3e-05,0.914
4,50,64,PolynomialDecay,0.909
4,50,64,CosineDecay,0.897
4,50,64,5e-05,0.906
4,50,64,4e-05,0.912
4,50,64,3e-05,0.902
4,100,16,PolynomialDecay,0.931
4,100,16,CosineDecay,0.94
4,100,16,5e-05,0.928
4,100,16,4e-05,0.936
4,100,16,3e-05,0.931
4,100,32,PolynomialDecay,0.933
4,100,32,CosineDecay,0.933
4,100,32,5e-05,0.926
4,100,32,4e-05,0.935
4,100,32,3e-05,0.937
4,100,64,PolynomialDecay,0.94
4,100,64,CosineDecay,0.925
4,100,64,5e-05,0.926
4,100,64,4e-05,0.942
4,100,64,3e-05,0.935
4,150,16,PolynomialDecay,0.935
4,150,16,CosineDecay,0.93
4,150,16,5e-05,0.926
4,150,16,4e-05,0.948
4,150,16,3e-05,0.938
4,150,32,PolynomialDecay,0.939
4,150,32,CosineDecay,0.951
4,150,32,5e-05,0.939
4,150,32,4e-05,0.937
4,150,32,3e-05,0.934
4,150,64,PolynomialDecay,0.944
4,150,64,CosineDecay,0.948
4,150,64,5e-05,0.944
4,150,64,4e-05,0.94
4,150,64,3e-05,0.935
5,50,16,PolynomialDecay,0.887
5,50,16,CosineDecay,0.9
5,50,16,5e-05,0.895
5,50,16,4e-05,0.894
5,50,16,3e-05,0.888
5,50,32,PolynomialDecay,0.902
5,50,32,CosineDecay,0.898
5,50,32,5e-05,0.906
5,50,32,4e-05,0.9
5,50,32,3e-05,0.91
5,50,64,PolynomialDecay,0.917
5,50,64,CosineDecay,0.915
5,50,64,5e-05,0.902
5,50,64,4e-05,0.912
5,50,64,3e-05,0.911
5,100,16,PolynomialDecay,0.933
5,100,16,CosineDecay,0.919
5,100,16,5e-05,0.928
5,100,16,4e-05,0.93
5,100,16,3e-05,0.949
5,100,32,PolynomialDecay,0.932
5,100,32,CosineDecay,0.929
5,100,32,5e-05,0.948
5,100,32,4e-05,0.938
5,100,32,3e-05,0.938
5,100,64,PolynomialDecay,0.942
5,100,64,CosineDecay,0.932
5,100,64,5e-05,0.933
5,100,64,4e-05,0.94
5,100,64,3e-05,0.94
5,150,16,PolynomialDecay,0.928
5,150,16,CosineDecay,0.94
5,150,16,5e-05,0.946
5,150,16,4e-05,0.945
5,150,16,3e-05,0.941
5,150,32,PolynomialDecay,0.946
5,150,32,CosineDecay,0.945
5,150,32,5e-05,0.931
5,150,32,4e-05,0.92
5,150,32,3e-05,0.945
5,150,64,PolynomialDecay,0.939
5,150,64,CosineDecay,0.945
5,150,64,5e-05,0.938
5,150,64,4e-05,0.948
5,150,64,3e-05,0.946
